addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
Ланское шоссе;10;5.0;А;Приморский;1962;"ООО ""Жилкомсервис №2 Приморского района""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";20233;30.083618;59.73418;7.0;56;0.03324026405202165;0.18181818181818182;0.8181818181818181
Савушкина ул.;31;0.0;А;Приморский;1948;"ООО ""Жилкомсервис  №2 Приморского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Ремонт фасадов без утепления";16975;30.315868;59.939095;6.0;70;0.03480891659646553;0.23076923076923078;0.7692307692307692
6-я Советская ул.;10;0.0;А;Центральный;1904;"ООО ""Жилкомсервис №3 Центрального района""";2020;Ремонт конструкций и замена покрытий крыш;9390;30.323989;59.87622800000001;3.0;114;0.05349394034228937;0.38461538461538464;0.6153846153846154
Варшавская ул.;114;0.0;А;Московский;1958;"ООО ""Жилкомсервис № 3 Московского района""";2020;Ремонт конструкций и замена покрытий крыш;8619;30.384167;59.969961;1.0;60;0.1620037978247535;0.1958041958041958;0.8041958041958042
КИМа пр.;9;0.0;Б;Василеостровский;1968;ЖСК 264;2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";19660;30.483808000000003;59.883313;3.0;50;0.0825192320053099;0.16083916083916083;0.8391608391608392
Подводника Кузьмина ул.;10;0.0;А;Кировский;1962;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения";10190;30.417486;59.85113199999999;3.0;56;0.0779517621999729;0.18181818181818182;0.8181818181818181
Таллинская ул.;17;0.0;А;Красногвардейский;1960;"ООО ""Жилкомсервис  №1 Красногвардейского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";12729;30.336026;59.873261;7.0;58;0.03255287240332585;0.1888111888111888;0.8111888111888113
Федосеенко ул.;14;0.0;А;Калининский;1960;"ООО ""Жилкомсервис № 3 Калининского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";6038;30.468815000000006;59.88110500000001;2.0;58;0.10592638323541827;0.1888111888111888;0.8111888111888113
Казанская ул.;42;0.0;А;Адмиралтейский;1905;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";6804;30.443752000000003;59.874575;5.0;113;0.03201365639393854;0.3811188811188811;0.618881118881119
Орбели ул.;25;3.0;И;Выборгский;1964;"Жилищно-строительный кооператив ""Двигатель""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";1854;30.414297;60.03710400000001;2.0;54;0.10968525656480131;0.17482517482517482;0.8251748251748252
Радищева ул.;37;0.0;Б;Центральный;1828;"ООО ""Жилкомсервис №3 Центрального района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов (с заменой крупных узлов)";11037;30.260954;59.946234;3.0;190;0.039841057840654635;0.6503496503496503;0.3496503496503497
Гранитная ул.;48;0.0;А;Красногвардейский;1962;"ООО ""Жилкомсервис  №1 Красногвардейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";7651;30.281481;60.020692;3.0;56;0.0779517621999729;0.18181818181818182;0.8181818181818181
Шпалерная ул.;7;0.0;А;Центральный;1766;ООО «Жилкомсервис № 1 Центрального района»;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";8053;30.315868;59.939095;6.0;252;0.014217673408085113;0.8671328671328671;0.13286713286713292
Космонавтов пр.;19;3.0;А;Московский;1963;"ТСЖ ""Электрик""";2020;Ремонт конструкций и замена покрытий крыш;14697;30.271446;59.85299000000001;4.0;55;0.060637657036815805;0.17832167832167833;0.8216783216783217
Сытнинская ул.;16;0.0;А;Петроградский;1914;"УК ООО ""ЖКС №1 Петроградского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт или замена системы отопления";6781;30.329379;59.915567;5.0;104;0.033691639137516584;0.34965034965034963;0.6503496503496504
Капитана Воронина ул.;6;0.0;А;Выборгский;1955;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";11323;30.282289;59.922224;1.0;63;0.15829084970353038;0.2062937062937063;0.7937062937062938
Авиаконструкторов пр.;11;1.0;А;Приморский;1987;"ТСЖ ""Авиаконструкторов 11""";2020;Ремонт конструкций и замена покрытий крыш;18135;30.342386;59.923658;3.0;31;0.10403282233234766;0.0944055944055944;0.9055944055944056
Малый ВО пр.;19;0.0;А;Василеостровский;1906;"ООО "" УК ""МИР""";2020;"АВКР; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы электроснабжения";53;30.360389;59.93268000000001;2.0;112;0.07585249690188814;0.3776223776223776;0.6223776223776224
Богатырский пр.;47;1.0;А;Приморский;1998;"ТСЖ ""Строитель""";2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС; Ремонт конструкций и замена покрытий крыш";5910;30.209076;59.834537;1.0;20;0.265789211116092;0.055944055944055944;0.9440559440559441
Ново-Александровская ул.;30;0.0;А;Невский;1901;"ООО ""Жилкомсервис №2 Невского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";12877;30.236107;59.849139;1.0;117;0.11692440763432747;0.3951048951048951;0.6048951048951049
Танкистов ул.;32;0.0;А;Колпинский;1968;"ООО ""ЖКС №1 Колпинского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";18633;30.325983;59.841758;5.0;50;0.05118907663823006;0.16083916083916083;0.8391608391608392
Корженевская ул.;21а;0.0;А;Приморский;1958;"ООО ""Жилкомсервис № 1 Приморского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";13916;30.407631;59.968209;2.0;60;0.1041787871845258;0.1958041958041958;0.8041958041958042
Лермонтовский пр.;17;0.0;А;Адмиралтейский;1825;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";2154;30.608997;59.74326800000001;5.0;193;0.022487974842928325;0.6608391608391608;0.33916083916083917
Санкт-Петербургское ш.;98;0.0;А;Петродворцовый;1972;"ООО ""ЖКС поселка Стрельна""";2020;"Ремонт конструкций и замена покрытий крыш; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы отопления";19231;30.266838;60.021474;5.0;46;0.05351388194831051;0.14685314685314685;0.8531468531468531
г.Ломоносов, Красноармейская ул.;35а;0.0;А;Петродворцовый;1968;ЖСК № 5;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";5451;30.142736;59.832403;3.0;50;0.0825192320053099;0.16083916083916083;0.8391608391608392
Червонного Казачества ул.;32;0.0;А;Кировский;1960;"ГУПРЭП ""Строитель""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";15297;30.475876;59.909414;4.0;58;0.05896733630287912;0.1888111888111888;0.8111888111888113
Новочеркасский пр.;29.окт;0.0;А;Красногвардейский;1960;"ООО ""Жилкомсервис  №1 Красногвардейского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";5386;30.295629;59.95734100000001;4.0;58;0.05896733630287912;0.1888111888111888;0.8111888111888113
Малый ВО пр.;37;0.0;Б;Василеостровский;1917;"ООО ""УК ""МИР""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Ремонт фасадов без утепления";15211;30.237059;59.938387;3.0;101;0.05718143237589401;0.33916083916083917;0.6608391608391608
15-я линия, В.О.;70;0.0;А;Василеостровский;1910;"ООО "" УК ""МИР""";2019;Расходы на изготовление проектно-сметной документации;601;30.396582;60.015448;3.0;108;0.05511787459329002;0.36363636363636365;0.6363636363636364
Петровский пр.;20;6.0;А;Петроградский;1917;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт или замена системы отопления; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";21445;30.276495;59.983882;4.0;101;0.043450899081529284;0.33916083916083917;0.6608391608391608
Ленина пр.;43;0.0;А;Колпинский;1962;"ООО ""ЖКС №1 Колпинского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";19959;30.413488;59.951731;7.0;56;0.03324026405202165;0.18181818181818182;0.8181818181818181
Солидарности пр.;10;3.0;М;Невский;1978;"ООО ""Жилкомсервис №1 Невского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";14514;30.315868;59.939095;4.0;40;0.07138468191750223;0.1258741258741259;0.8741258741258742
Лизы Чайкиной ул.;22;0.0;А;Петроградский;1901;"УК ООО ""Жилкомсервис №2 Петроградского района""";2019;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; АВКР; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов (с заменой крупных узлов)";18395;30.426666;59.896174;5.0;117;0.03132731314748942;0.3951048951048951;0.6048951048951049
Миллионная ул.;10;0.0;Б;Центральный;1916;ООО «Жилкомсервис № 1 Центрального района»;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы отопления";1;30.32398;59.943381;2.0;102;0.07965636481166542;0.34265734265734266;0.6573426573426573
Васенко ул.;3;0.0;А;Калининский;1959;ООО «Жилкомсервис № 3 Калининского района»;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";1221;29.893094;59.87641800000001;4.0;59;0.058436904539636944;0.19230769230769232;0.8076923076923077
Севастьянова ул.;1;0.0;А;Московский;1958;"ООО ""Жилкомсервис № 2 Московского района""";2020;Ремонт или замена системы электроснабжения;12748;30.327402000000006;59.845537;4.0;60;0.057918778672343636;0.1958041958041958;0.8041958041958042
Александровская ул.;51а;0.0;А;Петродворцовый;1967;ЖСК № 4;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";855;30.418411;59.896143;3.0;51;0.08170693878002133;0.16433566433566432;0.8356643356643356
пос. Понтонный, Южная ул.;33;0.0;А;Колпинский;1969;"ООО ""Гарант-Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";632;30.454325;59.917935;2.0;49;0.11496267016606161;0.15734265734265734;0.8426573426573427
Кузнечный пер.;10;0.0;А;Центральный;1842;"ООО "" Жилкомсервис №2 Центрального района """;2020;"Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";15349;30.172057;59.857992;4.0;176;0.03106777520066397;0.6013986013986014;0.39860139860139865
Озерковая ул.;29;0.0;А;Петродворцовый;1960;"ООО ""ЖКС г. Петродворца""";2020;"Ремонт или замена системы холодного водоснабжения; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";13953;30.313515;59.960219;5.0;58;0.04722757456974433;0.1888111888111888;0.8111888111888113
Новгородская ул.;16;1.0;А;Колпинский;1962;"ООО ""ЖКС №1 Колпинского района""";2020;"АВКР; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш";16039;30.240814;59.935922;3.0;56;0.0779517621999729;0.18181818181818182;0.8181818181818181
Новоизмайловский пр.;36;1.0;А;Московский;1962;"ООО ""Жилкомсервис № 3 Московского района""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы канализования и водоотведения";18222;30.255744;59.90845699999999;4.0;56;0.060067162940792396;0.18181818181818182;0.8181818181818181
Новаторов Бульвар;20;0.0;А;Кировский;1964;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения";16659;30.38211;59.946703;1.0;54;0.17026350189516676;0.17482517482517482;0.8251748251748252
Беломорская ул.;32;0.0;А;Красногвардейский;1974;"ООО "" Жилкомсервис №2 Красногвардейского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";5288;30.402753000000004;59.92491999999999;5.0;44;0.0547830671293254;0.13986013986013987;0.8601398601398601
Нарвский пр.;14;0.0;А;Адмиралтейский;1907;"ООО ""Стилес""";2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; АВКР; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС";2356;30.327995;60.038456;9.0;111;0.014833419002187062;0.3741258741258741;0.6258741258741258
Карпинского ул.;23;3.0;А;Калининский;1967;ООО «Жилкомсервис № 3 Калининского района»;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";4078;30.293132;60.021613;5.0;51;0.05064754782137102;0.16433566433566432;0.8356643356643356
Волковский пр.;30;0.0;А;Фрунзенский;1952;"ООО ""Жилкомсервис № 1 Фрунзенского района""";2020;Ремонт фасада (Герметизация стыков стеновых панелей);4047;30.312868;59.966475;2.0;66;0.09938661077920784;0.21678321678321677;0.7832167832167832
Смолячкова ул.;14;2.0;В;Выборгский;1931;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;Ремонт или замена системы холодного водоснабжения;4524;30.274168;59.895583;2.0;87;0.08646951436467896;0.2902097902097902;0.7097902097902098
Хошимина ул.;7;3.0;А;Выборгский;1980;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";5622;30.405098;59.924925;5.0;38;0.0591187146198181;0.11888111888111888;0.8811188811188811
Фонтанки реки наб.;126;0.0;А;Адмиралтейский;1912;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";2619;30.271635;59.982955;14.0;106;0.006437837314362663;0.35664335664335667;0.6433566433566433
Губина ул.;6;0.0;А;Кировский;1949;"Общество с ограниченной ответственностью ""Жилкомсервис № 2 Кировского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";2291;30.314359000000003;59.87731700000001;1.0;69;0.15155317448569938;0.22727272727272727;0.7727272727272727
5-я линия В.О.;52;0.0;А;Василеостровский;1860;"ООО ""УК ""МИР""";2020;Ремонт конструкций и замена покрытий крыш;1649;30.307972;59.861507;3.0;158;0.04443254790697454;0.5384615384615384;0.46153846153846156
Пилотов ул.;16;2.0;А;Московский;1961;"ООО ""Управляющая организация ""Профсервис""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления";10604;30.345225;59.839565;1.0;57;0.16598329588712366;0.1853146853146853;0.8146853146853147
Подъездной пер.;7;0.0;А;Адмиралтейский;1906;"ООО ""Прямые инвестиции""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";7768;30.102366;59.78058100000001;8.0;112;0.017636676236676318;0.3776223776223776;0.6223776223776224
г.Ломоносов, ул. Красного Флота;30;0.0;А;Петродворцовый;1968;"ООО ""ЖКС г. Ломоносова""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";4659;30.460946000000003;59.86378000000001;2.0;50;0.11384938737238974;0.16083916083916083;0.8391608391608392
Рубакина ул.;12;0.0;А;Петродворцовый;1917;"ООО ""ЖКС г. Ломоносова""";2020;"Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";19032;30.256885;59.847847;4.0;101;0.043450899081529284;0.33916083916083917;0.6608391608391608
Гданьская ул.;4;0.0;Г;Выборгский;1952;"ООО ""СТРОИТЕЛЬНЫЕ СИСТЕМЫ""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения";18392;30.305564;59.973613;2.0;66;0.09938661077920784;0.21678321678321677;0.7832167832167832
Вавиловых ул.;3;1.0;А;Калининский;1967;ООО «Жилкомсервис № 2 Калининского района»;2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы отопления";7083;30.321411;59.997361;6.0;51;0.041773436118899505;0.16433566433566432;0.8356643356643356
Макаренко пер.;15/147;0.0;А;Адмиралтейский;1880;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2019;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов (с заменой крупных узлов)";10394;30.426307;59.990485;1.0;138;0.10755021165896579;0.46853146853146854;0.5314685314685315
Бухарестская ул.;116;1.0;А;Фрунзенский;1984;"ООО ""Жилкомсервис № 2 Фрунзенского района""";2019;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";13960;30.368572;59.900412;3.0;34;0.099582603970826;0.1048951048951049;0.8951048951048951
Учительская ул.;9;2.0;А;Калининский;1972;"ООО ""Жилкомсервис № 1 Калининского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";19470;30.315868;59.939095;6.0;46;0.0442302939419905;0.14685314685314685;0.8531468531468531
Серпуховская ул.;3;0.0;А;Адмиралтейский;1880;"ООО ""ЖКС Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление внутридомовых инженерных систем; Ремонт конструкций и замена покрытий крыш";18095;30.191721;59.829192000000006;2.0;138;0.06787639640733399;0.46853146853146854;0.5314685314685315
Пограничника Гарькавого ул.;21;2.0;А;Красносельский;1949;"ООО ""ЖКСервис""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или восстановление внутридомовых инженерных систем";5854;30.463066;59.914791;7.0;69;0.029284868049477643;0.22727272727272727;0.7727272727272727
Подольская ул.;15;0.0;А;Адмиралтейский;1898;"ООО ""Прямые инвестиции""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";2615;30.513381;59.835265;1.0;120;0.11544440862939796;0.40559440559440557;0.5944055944055944
Итальянская ул.;16/19;0.0;А;Центральный;1870;"ТСЖ ""ИТАЛЬЯНСКАЯ 16""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации";5724;30.315868;59.939095;13.0;148;0.004991750470208166;0.5034965034965035;0.49650349650349646
Сантьяго-де-Куба ул.;2;1.0;А;Выборгский;1978;Жилищно-строительный кооператив №1010;2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";14857;30.361287;59.83639599999999;2.0;40;0.12662195925979014;0.1258741258741259;0.8741258741258742
Воронежская ул.;26-28;0.0;А;Центральный;1813;"ООО "" Жилкомсервис №2 Центрального района """;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";17794;30.411907;59.894622;2.0;205;0.05456108407240813;0.7027972027972028;0.2972027972027972
г.Ломоносов, ул. Победы;1;0.0;А;Петродворцовый;1963;"ООО ""ЖКС г. Ломоносова""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";20430;30.252824;60.016771;2.0;55;0.10871025112531277;0.17832167832167833;0.8216783216783217
г.Зеленогорск, Приморское шоссе;515;0.0;Е;Курортный;1896;"ОАО""ХЭУ Адмиралтейского района""";2021;"АВКР; Ремонт конструкций и замена покрытий крыш";6183;30.413659000000006;59.952723;1.0;122;0.11448653910646966;0.4125874125874126;0.5874125874125874
Б. Казачий пер.;5;0.0;А;Адмиралтейский;1917;"ООО ""Прямые инвестиции""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Расходы на изготовление проектно-сметной документации";8614;30.227501;59.84006700000001;3.0;101;0.05718143237589401;0.33916083916083917;0.6608391608391608
Кузнецовская ул.;24;0.0;А;Московский;1960;"ООО ""Жилкомсервис № 2 Московского района""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";14079;30.417512;59.961377;1.0;58;0.1646251919010922;0.1888111888111888;0.8111888111888113
Кингисеппское шоссе;12;3.0;А;Красносельский;1998;"ТСЖ ""Красное Село""";2020;Асфальтирование и замощение придомовой территории;9604;30.339673;60.00348;1.0;20;0.265789211116092;0.055944055944055944;0.9440559440559441
Энергетиков пр.;35;2.0;А;Красногвардейский;1968;"ООО ""Жилкомсервис  №2 Красногвардейского района""";2020;Ремонт конструкций и замена покрытий крыш;5344;30.62382;59.73605799999999;4.0;50;0.06372113878506198;0.16083916083916083;0.8391608391608392
Трамвайный пр.;11;1.0;А;Кировский;1961;"Общество с ограниченной ответственностью ""Жилкомсервис № 2 Кировского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";7062;30.408853000000004;59.928695;1.0;57;0.16598329588712366;0.1853146853146853;0.8146853146853147
г.Пушкин, Средняя ул.;8;2.0;А;Пушкинский;2007;"ЖСК""Свой дом"" в управлении ООО""КомПрофСервис""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт фасада (Герметизация стыков стеновых панелей)";8535;30.265482;60.021092;1.0;11;0.3400086662497705;0.024475524475524476;0.9755244755244755
Ленинский пр.;152;2.0;А;Московский;1963;"ООО ""Жилкомсервис № 3 Московского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления";5285;30.307801;59.924902;1.0;55;0.16880099373593394;0.17832167832167833;0.8216783216783217
Большой П.С. пр.;33;0.0;А;Петроградский;1882;"УК ООО ""ЖКС №1 Петроградского района""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; АВКР; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";4513;30.152132;59.834325;7.0;136;0.018484901970654898;0.46153846153846156;0.5384615384615384
Измайловский пр.;16/30;0.0;А;Адмиралтейский;1911;ТСЖ «Стрела»;2019;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";8787;30.41815;59.891083;14.0;107;0.006361348105663437;0.36013986013986016;0.6398601398601398
Бухарестская ул.;94;3.0;А;Фрунзенский;1966;"ООО ""Жилкомсервис № 2 Фрунзенского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";6412;30.08969;59.738702;3.0;52;0.08091628887882774;0.16783216783216784;0.8321678321678322
Добровольцев ул.;16;0.0;А;Красносельский;1975;ЖСК №858;2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов";12559;30.315868;59.939095;6.0;43;0.04588783939986638;0.13636363636363635;0.8636363636363636
