addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
Садовая ул.;47;0.0;А;Адмиралтейский;1798;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации";14301;30.428508;59.989292000000006;2.0;220;0.052414937767038906;0.7552447552447552;0.2447552447552448
Энергетиков пр.;54;1.0;А;Красногвардейский;1967;ЖСК №279;2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";18768;30.301208000000006;59.96156600000001;2.0;51;0.11276632973867166;0.16433566433566432;0.8356643356643356
Вавиловых ул.;10;4.0;А;Калининский;1973;ООО «Жилкомсервис № 2 Калининского района»;2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы отопления";2027;30.315868;59.939095;2.0;45;0.11974885854216984;0.14335664335664336;0.8566433566433567
Казанская ул.;39;0.0;А;Адмиралтейский;1827;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";13754;30.299285;59.93395600000001;1.0;191;0.09090249750673919;0.6538461538461539;0.34615384615384615
г.Зеленогорск, Ленина пр.;24;0.0;А;Курортный;1960;"ООО ""ЖКС Курортного района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";16306;30.350103000000004;59.92576800000001;7.0;58;0.03255287240332585;0.1888111888111888;0.8111888111888113
Лиговский пр.;100-104;0.0;А;Центральный;1882;ТСЖ «Право»;2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";15396;29.795205;59.988023;13.0;136;0.005646557942118682;0.46153846153846156;0.5384615384615384
Малый ВО пр.;6;0.0;А;Василеостровский;1894;"ООО "" УК ""МИР""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";15869;30.263119;59.85063100000001;7.0;124;0.019784240746625614;0.4195804195804196;0.5804195804195804
Шамшева ул.;10;0.0;Б;Петроградский;1898;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";5207;30.347776;59.937197;3.0;120;0.05198658726673417;0.40559440559440557;0.5944055944055944
г.Ломоносов, Заводская ул.;7;0.0;А;Петродворцовый;1957;"ООО ""ЖКС г. Ломоносова""";2021;Ремонт конструкций и замена покрытий крыш;11857;30.315868;59.939095;1.0;61;0.16073805700883814;0.1993006993006993;0.8006993006993007
Витебская ул.;27;0.0;А;Адмиралтейский;1912;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;Благоустройство придомовой территории;19108;29.864114;59.871915;9.0;106;0.0153923730195088;0.35664335664335667;0.6433566433566433
г.Зеленогорск, Новая ул.;6;0.0;А;Курортный;1958;"ООО ""ЖКС Курортного района""";2021;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";949;30.280214;59.965147;4.0;60;0.057918778672343636;0.1958041958041958;0.8041958041958042
Михайлова ул.;1;0.0;А;Калининский;1950;ООО «Жилкомсервис № 3 Калининского района»;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";15351;30.315868;59.939095;3.0;68;0.07057355213698234;0.22377622377622378;0.7762237762237763
Орджоникидзе ул.;59;0.0;А;Московский;1971;ЖСК № 570;2020;"Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш";10341;30.320485;59.929799;5.0;47;0.05290731139436553;0.15034965034965034;0.8496503496503497
Гражданский пр.;83;4.0;А;Калининский;1969;ЖСК-385;2020;Ремонт конструкций и замена покрытий крыш;19533;30.329046;60.017683;1.0;49;0.17817962229705722;0.15734265734265734;0.8426573426573427
Зины Портновой ул.;4;0.0;А;Кировский;1961;"Общество с ограниченной ответственностью ""Жилкомсервис № 2 Кировского района""";2020;"АВКР; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";20693;30.256768;59.853857;1.0;57;0.16598329588712366;0.1853146853146853;0.8146853146853147
Ярослава Гашека ул.;7;1.0;А;Фрунзенский;1975;"ТСЖ ""Веста""";2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы горячего водоснабжения";21130;30.324438;59.888677;5.0;43;0.05544768498249905;0.13636363636363635;0.8636363636363636
пос. Металлострой, Плановая ул.;12;0.0;А;Колпинский;1964;"ООО ""Гарант-Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";8153;30.295422;60.028505;3.0;54;0.07939613389961857;0.17482517482517482;0.8251748251748252
Комсомольского канала наб.;28;0.0;А;Колпинский;1954;"ООО ""ЖКС №1 Колпинского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";20347;30.426029;60.004114;8.0;64;0.025990663463178902;0.2097902097902098;0.7902097902097902
Смолячкова ул.;12;0.0;А;Выборгский;1959;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;Ремонт или замена системы холодного водоснабжения;15423;30.308125;59.961872;3.0;59;0.07591393919852858;0.19230769230769232;0.8076923076923077
