Улица;Номер улицы;Строение;Литера;Район;Дата постройки;УК;Ожидаемый год ремонта;Ожидаемая статья ремонта;id;Широта;Долгота;Кол-во ремонтов;Возраст дома;Техническое состояние дома;age_norm;Индекс возраста дома;Адрес;Год ремонта по ГОСТ;Дельта
Авангардная ул.;2;0;А;Красносельский;1961;"ООО ""Жилищник""";2020;Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов;11090;30.431239;59.876978;5.0;57;0.04768027589842147;0.1853146853146853;0.8146853146853147;Авангардная ул., 2, А;2024.0;4.0
Новаторов Бульвар;69;0;А;Кировский;1987;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;Ремонт конструкций и замена покрытий крыш;16681;30.006758;60.014113;2.0;31;0.14253417447510675;0.0944055944055944;0.9055944055944056;Новаторов Бульвар, 69, А;2021.0;1.0
Костромской пр.;37;0;Д;Выборгский;1958;Государственное унитарное производственное ремонтно-эксплуатационное предприятие «Прогресс»;2020;Ремонт или замена системы электроснабжения;11963;30.327986;60.023488;2.0;60;0.1041787871845258;0.1958041958041958;0.8041958041958042;Костромской пр., 37, Д;2033.0;13.0
Садовая ул.;47;0;А;Адмиралтейский;1798;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации";14301;30.428508;59.989292000000006;2.0;220;0.052414937767038906;0.7552447552447552;0.2447552447552448;Садовая ул., 47, А;2021.0;2.0
Энергетиков пр.;54;1;А;Красногвардейский;1967;ЖСК №279;2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";18768;30.30120800000001;59.96156600000001;2.0;51;0.11276632973867165;0.16433566433566432;0.8356643356643356;Энергетиков пр., 54, 1, А;2021.0;1.0
Вавиловых ул.;10;4;А;Калининский;1973;ООО «Жилкомсервис № 2 Калининского района»;2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы отопления";2027;30.315868;59.939094999999995;2.0;45;0.11974885854216985;0.14335664335664336;0.8566433566433567;Вавиловых ул., 10, 4, А;2024.0;4.0
Казанская ул.;39;0;А;Адмиралтейский;1827;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";13754;30.299284999999998;59.93395600000001;1.0;191;0.0909024975067392;0.6538461538461539;0.3461538461538461;Казанская ул., 39, А;2024.0;4.0
г.Зеленогорск, Ленина пр.;24;0;А;Курортный;1960;"ООО ""ЖКС Курортного района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";16306;30.350103000000004;59.92576800000001;7.0;58;0.03255287240332585;0.1888111888111888;0.8111888111888113;г.Зеленогорск, Ленина пр., 24, А;2021.0;1.0
Лиговский пр.;100-104;0;А;Центральный;1882;ТСЖ «Право»;2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";15396;29.795205;59.988023;13.0;136;0.005646557942118682;0.4615384615384616;0.5384615384615384;Лиговский пр., 100-104, А;2021.0;2.0
Малый ВО пр.;6;0;А;Василеостровский;1894;"ООО "" УК ""МИР""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";15869;30.263119;59.85063100000001;7.0;124;0.019784240746625614;0.4195804195804196;0.5804195804195804;Малый ВО пр., 6, А;2021.0;1.0
Шамшева ул.;10;0;Б;Петроградский;1898;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";5207;30.347776;59.937197;3.0;120;0.05198658726673417;0.4055944055944056;0.5944055944055944;Шамшева ул., 10, Б;2021.0;1.0
г.Ломоносов, Заводская ул.;7;0;А;Петродворцовый;1957;"ООО ""ЖКС г. Ломоносова""";2021;Ремонт конструкций и замена покрытий крыш;11857;30.315868;59.939094999999995;1.0;61;0.16073805700883814;0.1993006993006993;0.8006993006993007;г.Ломоносов, Заводская ул., 7, А;2027.0;6.0
Витебская ул.;27;0;А;Адмиралтейский;1912;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;Благоустройство придомовой территории;19108;29.864114;59.871915;9.0;106;0.0153923730195088;0.3566433566433567;0.6433566433566433;Витебская ул., 27, А;2024.0;4.0
г.Зеленогорск, Новая ул.;6;0;А;Курортный;1958;"ООО ""ЖКС Курортного района""";2021;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";949;30.280214;59.965146999999995;4.0;60;0.057918778672343636;0.1958041958041958;0.8041958041958042;г.Зеленогорск, Новая ул., 6, А;2021.0;0.0
Михайлова ул.;1;0;А;Калининский;1950;ООО «Жилкомсервис № 3 Калининского района»;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";15351;30.315868;59.939094999999995;3.0;68;0.07057355213698234;0.22377622377622375;0.7762237762237763;Михайлова ул., 1, А;2033.0;13.0
Орджоникидзе ул.;59;0;А;Московский;1971;ЖСК № 570;2020;"Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш";10341;30.320484999999998;59.929798999999996;5.0;47;0.05290731139436553;0.15034965034965034;0.8496503496503497;Орджоникидзе ул., 59, А;2027.0;7.0
