Улица;Номер улицы;Строение;Литера;Район;Дата постройки;УК;Ожидаемый год ремонта;Ожидаемая статья ремонта;id;Широта;Долгота;Кол-во ремонтов;Возраст дома;Техническое состояние дома;age_norm;Индекс возраста дома;Адрес;Год ремонта по ГОСТ;Дельта
Ленинский пр.;127;4;А;Кировский;1962;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;Ремонт конструкций и замена покрытий крыш;18457;30.327285999999997;59.87201500000001;2.0;56;0.1077594276319404;0.18181818181818185;0.8181818181818181;Ленинский пр., 127, 4, А;2027.0;7.0
Лазо ул.;13;0;А;Красногвардейский;1958;"ООО ""Жилкомсервис №2 Красногвардейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";17396;30.281686999999998;59.987289000000004;2.0;60;0.1041787871845258;0.1958041958041958;0.8041958041958042;Лазо ул., 13, А;2021.0;1.0
Грибоедова наб.кан.;160;0;А;Адмиралтейский;1917;"ТСЖ ""Грибоедова 160""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";1983;29.905069;59.87198299999999;12.0;101;0.009652663280016122;0.3391608391608392;0.6608391608391608;Грибоедова наб.кан., 160, А;2021.0;1.0
2-ая Комсомольская ул.;18;2;А;Красносельский;1951;"ООО ""Комфорт""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасадов без утепления";20006;30.237158;59.853704;3.0;67;0.07111714812657535;0.2202797202797203;0.7797202797202797;2-ая Комсомольская ул., 18, 2, А;2033.0;13.0
7-я линия В.О.;32;0;А;Василеостровский;1910;"ООО "" УК ВОЗРОЖДЕНИЕ""";2020;"Ремонт или замена системы электроснабжения; Благоустройство придомовой территории";12322;30.315868;59.939094999999995;3.0;108;0.05511787459329002;0.3636363636363637;0.6363636363636364;7-я линия В.О., 32, А;2021.0;1.0
Колпинская ул.;19;0;А;Петроградский;1977;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы отопления";7766;30.345081;59.98941800000001;10.0;41;0.02579084367959198;0.12937062937062938;0.8706293706293706;Колпинская ул., 19, А;2024.0;4.0
Кирочная ул.;61;0;А;Центральный;1967;"ЖСК ""Красная звезда""";2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7861;30.227887;59.846396;7.0;51;0.03511785234204586;0.16433566433566432;0.8356643356643356;Кирочная ул., 61, А;2021.0;1.0
Ленсовета ул.;37;0;А;Московский;1960;"ООО ""Жилкомсервис №1 Московского района""";2020;Ремонт конструкций и замена покрытий крыш;10438;30.341982;59.93681899999999;1.0;58;0.1646251919010922;0.1888111888111888;0.8111888111888113;Ленсовета ул., 37, А;2024.0;4.0
Дальневосточный пр.;74;0;Щ;Невский;1963;"ООО ""Жилкомсервис №1 Невского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения";12593;30.245314;59.932513;6.0;55;0.040035116713174265;0.17832167832167833;0.8216783216783217;Дальневосточный пр., 74, Щ;2021.0;1.0
6-я линия В.О.;5/5;0;А;Василеостровский;1902;"ООО "" УК ВОЗРОЖДЕНИЕ""";2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";12657;30.286690999999998;59.924055;4.0;116;0.04008915209086352;0.3916083916083916;0.6083916083916083;6-я линия В.О., 5/5, А;2033.0;14.0
Маршала Новикова ул.;17;0;А;Приморский;1987;"ООО ""Жилкомсервис №4 Приморского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения";6051;30.33697;59.924199;3.0;31;0.10403282233234766;0.0944055944055944;0.9055944055944056;Маршала Новикова ул., 17, А;2021.0;1.0
Троицкий пр.;7;0;А;Адмиралтейский;1880;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;Ремонт или замена системы холодного водоснабжения;17660;30.32628900000001;59.961341000000004;2.0;138;0.06787639640733399;0.4685314685314685;0.5314685314685315;Троицкий пр., 7, А;2027.0;7.0
Васи Алексеева ул.;18;0;А;Кировский;1956;"ГУПРЭП ""Строитель""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";1580;30.381795;59.851958999999994;2.0;62;0.10251009750262556;0.2027972027972028;0.7972027972027972;Васи Алексеева ул., 18, А;2024.0;4.0
Седова ул.;97;8;К;Невский;1959;"ООО ""Жилкомсервис № 2 Невского района""";2020;Ремонт конструкций и замена покрытий крыш;19742;30.291057000000002;60.011221;2.0;59;0.10504233029668134;0.19230769230769232;0.8076923076923077;Седова ул., 97, 8, К;2021.0;1.0
Композиторов ул.;26/3;0;А;Выборгский;1980;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2019;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";11416;30.356014000000002;59.88739;6.0;38;0.04903443623185415;0.11888111888111888;0.8811188811188811;Композиторов ул., 26/3, А;2027.0;8.0
Софьи Ковалевской ул.;5;7;А;Калининский;1971;"ООО ""Жилкомсервис № 3 Калининского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";589;30.144901;59.827474;8.0;47;0.03144779623093382;0.15034965034965034;0.8496503496503497;Софьи Ковалевской ул., 5, 7, А;2024.0;4.0
Герасимовская ул.;16;0;А;Калининский;1939;ООО «Жилкомсервис № 3 Калининского района»;2020;Ремонт конструкций и замена покрытий крыш;14731;30.473334;59.913897999999996;3.0;79;0.06524685957782829;0.26223776223776224;0.7377622377622377;Герасимовская ул., 16, А;2021.0;1.0
Садовая ул.;8/7;0;А;Центральный;1918;ТСЖ «Садовая,8»;2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";339;30.207181;59.828835;0.0;100;0.26438455702114216;0.3356643356643357;0.6643356643356644;Садовая ул., 8/7, А;2024.0;4.0
Космонавтов пр.;18;2;А;Московский;1963;"ЖСК ""Сокол""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт или замена системы горячего водоснабжения";11190;29.752112;60.241507999999996;1.0;55;0.16880099373593396;0.17832167832167833;0.8216783216783217;Космонавтов пр., 18, 2, А;2021.0;1.0
Есенина ул.;36;1;А;Выборгский;1976;"Общество с ограниченной ответственностью  ""Жилкомсервис № 2 Выборгского района""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";17980;30.31131400000001;59.961251000000004;6.0;42;0.0464759250467016;0.13286713286713284;0.8671328671328671;Есенина ул., 36, 1, А;2024.0;4.0
Брюсовская ул.;14;0;А;Калининский;1965;ООО «Жилкомсервис № 3 Калининского района»;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";17917;30.279998;59.998318999999995;6.0;53;0.0408816546400755;0.17132867132867133;0.8286713286713286;Брюсовская ул., 14, А;2024.0;4.0
Пролетарская ул.;18;0;А;Кронштадский;1954;"ООО ""Жилкомсервис Кронштадтского района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения";10375;30.344559999999998;59.925470999999995;2.0;64;0.10091445858139593;0.2097902097902098;0.7902097902097902;Пролетарская ул., 18, А;2024.0;4.0
Зверинская ул.;44;0;А;Петроградский;1905;"УК ООО ""ЖКС №2 Петроградского района""";2019;"Ремонт фасадов без утепления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";20221;30.315868;59.939094999999995;8.0;113;0.017518692897315828;0.3811188811188811;0.6188811188811191;Зверинская ул., 44, А;2033.0;14.0
Дегтярная ул.;12/26;0;В;Центральный;1888;"ООО ""Жилкомсервис №3 Центрального района""";2020;"АВКР; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш";1614;30.32654;60.032883;1.0;130;0.11086684972980104;0.4405594405594406;0.5594405594405594;Дегтярная ул., 12/26, В;2021.0;1.0
Свечной пер.;27/91;0;А;Центральный;1913;"ООО "" Жилкомсервис №2 Центрального района """;2019;Ремонт или замена системы отопления;21036;30.142951;59.826298;14.0;105;0.006515351871127044;0.3531468531468531;0.6468531468531469;Свечной пер., 27/91, А;2024.0;5.0
Энергетиков пр.;32;2;А;Красногвардейский;1964;"ООО ""Жилкомсервис №1 Красногвардейского района""";2020;Ремонт конструкций и замена покрытий крыш;2446;30.318213;60.049347999999995;4.0;54;0.06122266030050893;0.17482517482517482;0.8251748251748252;Энергетиков пр., 32, 2, А;2024.0;4.0
Луначарского пр.;68;1;З;Выборгский;1974;"Открытое Акционерное Общество ""Сити Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";18851;30.225677;59.959962;2.0;44;0.1210373683545804;0.13986013986013987;0.8601398601398601;Луначарского пр., 68, 1, З;2021.0;1.0
Металлистов пр.;8;0;А;Красногвардейский;1963;"ЖСК ""Трикотажник""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";6868;30.363838;60.042141;4.0;55;0.06063765703681581;0.17832167832167833;0.8216783216783217;Металлистов пр., 8, А;2024.0;4.0
Широкая ул.;8;0;А;Кронштадский;1959;"ООО ""Жилкомсервис Кронштадтского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";1512;30.308366999999997;59.959701;2.0;59;0.10504233029668134;0.19230769230769232;0.8076923076923077;Широкая ул., 8, А;2027.0;7.0
г.Пушкин, Конюшенная ул.;38/37;0;А;Пушкинский;1954;"ООО ""Жилкомсервис № 2 Пушкинского района""";2020;"Ремонт фасадов без утепления; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";7925;30.433332;59.965610999999996;6.0;64;0.03669406276578133;0.2097902097902098;0.7902097902097902;г.Пушкин, Конюшенная ул., 38/37, А;2033.0;13.0
Гаванская ул;47;0;А;Василеостровский;1904;"ООО ""Жилкомсервис № 1 Василеостровского района""";2020;"Асфальтирование и замощение придомовой территории; Ремонт или замена системы отопления";7038;30.253049;59.853076;4.0;114;0.04050090545464558;0.38461538461538464;0.6153846153846154;Гаванская ул, 47, А;2033.0;13.0
Луначарского пр.;38;0;А,Е;Выборгский;1982;"Жилищно-строительный кооператив № 1046, ООО ""ЖКС №1 Выборгского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";15167;30.341820000000002;59.840275;3.0;36;0.09690068384291999;0.11188811188811187;0.8881118881118881;Луначарского пр., 38, А,Е;2024.0;4.0
Кораблестроителей ул.;46;1;А;Василеостровский;1979;"ЗАО ""Сити Сервис""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";3031;30.433546999999997;59.93345600000001;6.0;39;0.04836144934321372;0.12237762237762237;0.8776223776223776;Кораблестроителей ул., 46, 1, А;2033.0;13.0
Большая Зеленина ул.;2/42;0;А;Петроградский;1913;"УК ООО ""Жилкомсервис №2 Петроградского района""";2019;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";15089;30.461656;59.950339;10.0;105;0.01305592858642037;0.3531468531468531;0.6468531468531469;Большая Зеленина ул., 2/42, А;2021.0;2.0
Новаторов Бульвар;84;2;А;Кировский;1984;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";4935;30.315868;59.939094999999995;5.0;34;0.0625646579485741;0.1048951048951049;0.8951048951048951;Новаторов Бульвар, 84, 2, А;2021.0;1.0
14-я Линия В.О.;85;0;А;Василеостровский;1913;"ООО "" УК ""МИР""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Ремонт фасадов без утепления";16582;30.381831;59.944936;8.0;105;0.018506409182498143;0.3531468531468531;0.6468531468531469;14-я Линия В.О., 85, А;2021.0;1.0
Гаванская ул;47;0;Д;Василеостровский;1904;"ООО ""Жилкомсервис № 1 Василеостровского района""";2020;"Асфальтирование и замощение придомовой территории; Ремонт или замена системы отопления";8923;30.476091999999998;59.89374599999999;5.0;114;0.031838882196216375;0.38461538461538464;0.6153846153846154;Гаванская ул, 47, Д;2024.0;4.0
Рыбацкий пр.;25;1;А;Невский;1989;ЖСК-1293;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";18920;30.422462;59.832584;2.0;29;0.146938339446441;0.08741258741258741;0.9125874125874126;Рыбацкий пр., 25, 1, А;2021.0;1.0
Кораблестроителей ул.;29;1;А;Василеостровский;1975;"ООО ""Сити-Сервис""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";96;30.142287;59.996010999999996;8.0;43;0.03314137862302284;0.13636363636363635;0.8636363636363636;Кораблестроителей ул., 29, 1, А;2021.0;1.0
Заневский пр.;47;0;А;Красногвардейский;1962;"ООО ""Жилкомсервис №1 Красногвардейского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";5968;30.237032;59.94303000000001;2.0;56;0.1077594276319404;0.18181818181818185;0.8181818181818181;Заневский пр., 47, А;2024.0;4.0
Даля ул.;4;0;А;Петроградский;1959;"УК ООО ""ЖКС №2 Петроградского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или восстановление ОДС; Ремонт фасада (Герметизация стыков стеновых панелей)";7668;30.35640900000001;59.935722999999996;6.0;59;0.0384631506437608;0.19230769230769232;0.8076923076923077;Даля ул., 4, А;2024.0;4.0
Маршала Жукова пр.;56;5;А;Кировский;1973;Жилищно-строительный кооператив №678;2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";18308;30.3496;59.918046999999994;9.0;45;0.027894793695500224;0.14335664335664336;0.8566433566433567;Маршала Жукова пр., 56, 5, А;2027.0;7.0
Пискаревский пр.;155;0;А;Красногвардейский;1959;"ООО ""Жилкомсервис  №2 Красногвардейского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";2011;30.078084000000004;59.823236;6.0;59;0.0384631506437608;0.19230769230769232;0.8076923076923077;Пискаревский пр., 155, А;2021.0;1.0
Искровский пр.;8;2;А;Невский;1989;"ООО""Доверие""";2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов (с заменой крупных узлов)";12831;30.315868;59.939094999999995;6.0;29;0.056418583136514926;0.08741258741258741;0.9125874125874126;Искровский пр., 8, 2, А;2024.0;4.0
Дачный пр.;23;7;А;Кировский;1951;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";4329;30.261546999999997;60.009935;1.0;67;0.15370553034908033;0.2202797202797203;0.7797202797202797;Дачный пр., 23, 7, А;2021.0;1.0
г.Пушкин, Оранжерейная ул.;29/23;0;А;Пушкинский;1917;"ООО ""Жилкомсервис № 2 Пушкинского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей)";4609;30.409257;59.984322999999996;4.0;101;0.043450899081529284;0.3391608391608392;0.6608391608391608;г.Пушкин, Оранжерейная ул., 29/23, А;2030.0;10.0
Гражданский пр.;23;2;А;Калининский;1965;"ЖСК ""Уют""";2020;"Ремонт или замена системы электроснабжения; Ремонт или замена системы отопления";12236;30.243921999999998;59.930282;2.0;53;0.11068550628808232;0.17132867132867133;0.8286713286713286;Гражданский пр., 23, 2, А;2024.0;4.0
Ломоносова ул.;14;0;А;Центральный;1891;"ООО "" Жилкомсервис №2 Центрального района """;2019;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";18177;30.250704;59.835758;5.0;127;0.029747935262854793;0.4300699300699301;0.56993006993007;Ломоносова ул., 14, А;2033.0;14.0
Курляндская ул.;4;0;Б;Адмиралтейский;1897;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";5332;30.297758;59.919089;2.0;121;0.07281803541206452;0.4090909090909091;0.5909090909090908;Курляндская ул., 4, Б;2021.0;1.0
Обуховской Обороны пр.;243;0;А;Невский;1974;"ООО ""УК Евротракт""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";16507;30.457146;59.86278100000001;4.0;44;0.06803392737437641;0.13986013986013987;0.8601398601398601;Обуховской Обороны пр., 243, А;2033.0;13.0
пос.Шушары, Детскосельский, Колпинское шоссе;11;0;А;Пушкинский;1974;"ООО ""Жилкомсервис № 1 Пушкинского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт фасада (Герметизация стыков стеновых панелей)";5594;30.306471999999996;59.92782;3.0;44;0.08791021774195291;0.13986013986013987;0.8601398601398601;пос.Шушары, Детскосельский, Колпинское шоссе, 11, А;2027.0;7.0
Марата ул.;31;0;А;Центральный;1897;"ООО "" Жилкомсервис №2 Центрального района """;2019;"Благоустройство придомовой территории; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";19509;30.315868;59.939094999999995;2.0;121;0.07281803541206452;0.4090909090909091;0.5909090909090908;Марата ул., 31, А;2024.0;5.0
Скобелевский пр.;17;0;Б;Выборгский;1955;Государственное унитарное производственное ремонтно-эксплуатационное предприятие «Прогресс»;2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";12742;30.20604;59.837978;3.0;63;0.07340980780380038;0.2062937062937063;0.7937062937062938;Скобелевский пр., 17, Б;2024.0;4.0
Маяковского ул.;10;0;А;Центральный;1914;ООО «Жилкомсервис № 1 Центрального района»;2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или замена системы отопления";15081;30.431895;59.877841000000004;5.0;104;0.033691639137516584;0.34965034965034963;0.6503496503496504;Маяковского ул., 10, А;2024.0;4.0
Раевского пр.;24;0;Щ;Выборгский;1965;Жилищно-строительный кооператив №80;2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";16709;30.299823999999997;59.931693;3.0;53;0.08014632119207933;0.17132867132867133;0.8286713286713286;Раевского пр., 24, Щ;2021.0;1.0
Красного Курсанта ул.;28;0;А;Петроградский;1969;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";7553;30.334490000000002;59.836753;3.0;49;0.0833541941005638;0.15734265734265734;0.8426573426573427;Красного Курсанта ул., 28, А;2021.0;1.0
Стахановцев ул.;10;1;А;Красногвардейский;1953;"ООО ""Жилкомсервис  №1 Красногвардейского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";19345;30.312409999999996;59.914001;5.0;65;0.044335567155438176;0.21328671328671328;0.7867132867132867;Стахановцев ул., 10, 1, А;2033.0;13.0
Грибоедова наб.кан.;25;0;А;Центральный;1828;"ООО "" Жилкомсервис №2 Центрального района """;2019;"Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";9274;30.421590999999996;59.925899;4.0;190;0.02957859945333778;0.6503496503496503;0.3496503496503497;Грибоедова наб.кан., 25, А;2033.0;14.0
пос.Белоостров (Дюны), Центральная ул.;6;0;А;Курортный;1952;ЖКС Курортного района;2020;"Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";8926;30.229594;59.84499399999999;3.0;66;0.07167214956042346;0.2167832167832168;0.7832167832167832;пос.Белоостров (Дюны), Центральная ул., 6, А;2027.0;7.0
Большая Зеленина ул.;13;0;А;Петроградский;1899;"УК ООО ""ЖКС №2 Петроградского района""";2019;"Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";15100;30.616840000000003;59.73984;2.0;119;0.073464166504849;0.4020979020979021;0.5979020979020979;Большая Зеленина ул., 13, А;2024.0;5.0
Разведчика бульв.;8;1;А;Петродворцовый;1962;"ООО ""ЖКС г. Петродворца""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";14048;30.255313;59.90759499999999;6.0;56;0.0396276209303004;0.18181818181818185;0.8181818181818181;Разведчика бульв., 8, 1, А;2024.0;4.0
Рубинштейна ул.;11;0;А;Центральный;1885;"ООО "" Жилкомсервис №2 Центрального района """;2019;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления";17751;30.287257;59.92470400000001;10.0;133;0.010539890048335472;0.451048951048951;0.548951048951049;Рубинштейна ул., 11, А;2027.0;8.0
Горелово, Коммунаров ул.;122;1;А;Красносельский;1992;"ООО ""Жилкомсервис № 4 Красное село""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС";17454;29.757286999999998;59.99469300000001;6.0;26;0.059603742921161676;0.07692307692307693;0.9230769230769232;Горелово, Коммунаров ул., 122, 1, А;2021.0;1.0
Дегтярный пер.;6;0;В;Центральный;1898;"ООО ""Жилкомсервис №3 Центрального района""";2020;Расходы на изготовление проектно-сметной документации;12090;30.261071;59.89475699999999;4.0;120;0.03929502299420143;0.4055944055944056;0.5944055944055944;Дегтярный пер., 6, В;2024.0;4.0
Литейный пр.;31;0;А;Центральный;1877;ООО «Жилкомсервис № 1 Центрального района»;2019;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";8232;30.389377000000003;59.95115;7.0;141;0.017990598611456687;0.479020979020979;0.5209790209790209;Литейный пр., 31, А;2021.0;2.0
Искровский пр.;6;3;А;Невский;1973;"ООО ""Жилкомсервис №1 Невского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления";20533;30.385649;59.840542000000006;6.0;45;0.04476594846325587;0.14335664335664336;0.8566433566433567;Искровский пр., 6, 3, А;2024.0;4.0
Расстанная ул.;10;0;А;Фрунзенский;1864;"ООО ""Жилкомсервис № 1 Фрунзенского района""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа; Ремонт фасада (Герметизация стыков стеновых панелей)";3177;30.383574;59.849338;7.0;154;0.016814444049516906;0.5244755244755245;0.4755244755244755;Расстанная ул., 10, А;2024.0;4.0
Обводного канала наб.;127;0;З;Адмиралтейский;1857;"ООО ""Прямые инвестиции""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС";1597;30.314142999999998;59.935836;6.0;161;0.02019660505495729;0.548951048951049;0.451048951048951;Обводного канала наб., 127, З;2024.0;4.0
7-ая Красноармейская ул.;20;0;А;Адмиралтейский;1901;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2019;"Ремонт или замена системы холодного водоснабжения; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1357;30.329702;59.929460999999996;8.0;117;0.01706113073301641;0.3951048951048951;0.6048951048951049;7-ая Красноармейская ул., 20, А;2027.0;8.0
2-й Рабфаковский пер.;17;3;А;Невский;1960;"ООО ""Жилкомсервис №1 Невского района""";2020;Ремонт конструкций и замена покрытий крыш;19434;30.305277;59.925538;1.0;58;0.1646251919010922;0.1888111888111888;0.8111888111888113;2-й Рабфаковский пер., 17, 3, А;2021.0;1.0
Софийская ул.;43;1;А;Фрунзенский;1967;"ООО ""Жилкомсервис № 2 Фрунзенского района""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";5284;30.470351;59.915994999999995;7.0;51;0.03511785234204586;0.16433566433566432;0.8356643356643356;Софийская ул., 43, 1, А;2033.0;13.0
Юрия Гагарина пр.;20;5;А;Московский;1963;"ООО ""Жилкомсервис № 1 Московского района""";2020;Ремонт конструкций и замена покрытий крыш;18770;30.297255;59.925831;1.0;55;0.16880099373593396;0.17832167832167833;0.8216783216783217;Юрия Гагарина пр., 20, 5, А;2024.0;4.0
